year,level_1,level_2,level_3,level_4,value
2013,Income Decile - 31st - 40th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,19.1
2013,Income Decile - 31st - 40th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,2.3
2013,Income Decile - 31st - 40th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.3
2013,Income Decile - 31st - 40th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.2
2013,Income Decile - 31st - 40th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.2
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,7.4
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,1.8
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,11.9
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,2.5
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",0.2
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,0.2
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",30.2
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,21.9
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,34.6
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,58.7
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,3
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,10.6
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.5
2013,Income Decile - 31st - 40th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,6.1
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,28.4
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,9.6
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),4.9
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,25
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,6
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,90.9
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,24.8
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,36.9
2013,Income Decile - 31st - 40th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,11.9
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,24.2
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.5
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",62.9
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",2.9
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,15.5
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",49.9
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,2.2
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,130.5
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,37
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,7.3
2013,Income Decile - 31st - 40th,MISCELLANEOUS GOODS AND SERVICES,OTHER FINANCIAL SERVICES,Other Financial Services n.e.c,1.2
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,88
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,63.8
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,66.9
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",55.6
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,10.6
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,42.2
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,52.6
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",17.9
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,17
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",13.5
2013,Income Decile - 41st - 50th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",17
2013,Income Decile - 41st - 50th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,0.7
2013,Income Decile - 41st - 50th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,1.6
2013,Income Decile - 41st - 50th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,7.9
2013,Income Decile - 41st - 50th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,2.3
2013,Income Decile - 41st - 50th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,105.3
2013,Income Decile - 41st - 50th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,4.4
2013,Income Decile - 41st - 50th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",1.4
2013,Income Decile - 41st - 50th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,31.8
2013,Income Decile - 41st - 50th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.1
2013,Income Decile - 41st - 50th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,1.7
2013,Income Decile - 41st - 50th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,14
2013,Income Decile - 41st - 50th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,113.6
2013,Income Decile - 41st - 50th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",145.9
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,28.3
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,21.1
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,8.6
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,3.2
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Major Tools and Equipment,0.1
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,3.7
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,31.3
2013,Income Decile - 41st - 50th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,109.8
2013,Income Decile - 41st - 50th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,74.7
2013,Income Decile - 41st - 50th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,2.6
2013,Income Decile - 41st - 50th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,12.2
2013,Income Decile - 41st - 50th,HEALTH,OUTPATIENT SERVICES,Medical Services,69.5
2013,Income Decile - 41st - 50th,HEALTH,OUTPATIENT SERVICES,Dental Services,10.5
2013,Income Decile - 41st - 50th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,25.7
2013,Income Decile - 41st - 50th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,57.3
2013,Income Decile - 41st - 50th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,6.6
2013,Income Decile - 41st - 50th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,204.9
2013,Income Decile - 41st - 50th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,2.9
2013,Income Decile - 41st - 50th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.2
2013,Income Decile - 41st - 50th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,4.7
2013,Income Decile - 41st - 50th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,141.1
2013,Income Decile - 41st - 50th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,36.5
2013,Income Decile - 41st - 50th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,91.8
2013,Income Decile - 41st - 50th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,40.6
2013,Income Decile - 41st - 50th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,108.8
2013,Income Decile - 41st - 50th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,33.7
2013,Income Decile - 41st - 50th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,42.6
2013,Income Decile - 41st - 50th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,1
2013,Income Decile - 41st - 50th,TRANSPORT,OTHER TRANSPORT SERVICES,Other Transport Services,0.2
2013,Income Decile - 41st - 50th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.2
2013,Income Decile - 41st - 50th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.5
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,7.7
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,2.1
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,16.7
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,2.3
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",1.1
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,3.1
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",34
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,25.7
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,46.4
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Games of Chance,58.9
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Books,4.5
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Newspapers and Periodicals,11.4
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Miscellaneous Printed Materials,0.8
2013,Income Decile - 41st - 50th,RECREATION AND CULTURE,"NEWSPAPERS, BOOKS AND STATIONERY",Stationery and Drawing Materials,10.3
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Pre-Primary and Primary Education,50.8
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Secondary Education,13.6
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Post-Secondary Education (Non-Tertiary),5
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Polytechnic Education,18.6
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",Professional Qualification and Other Diploma Courses,4.5
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,"GENERAL, VOCATIONAL AND HIGHER EDUCATION",University Education,114.6
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Home-Based Tuition,41.8
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Centre-Based Tuition,38.1
2013,Income Decile - 41st - 50th,EDUCATIONAL SERVICES,PRIVATE TUITION AND OTHER EDUCATIONAL COURSES,Other Courses,19.6
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Hairdressing Salons and Personal Grooming Establishments,38.8
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,Electrical Appliances for Personal Care,0.6
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,"Other Appliances, Articles and Products for Personal Care",83.8
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,"Jewellery, Clocks and Watches",2.7
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,OTHER PERSONAL EFFECTS,Other Personal Effects,20.5
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,"Life Insurance (Term only, excluding premiums for whole-life plans with saving component)",70.2
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Housing Insurance,3.2
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Health Insurance,151.3
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Transport Insurance,48.7
2013,Income Decile - 41st - 50th,MISCELLANEOUS GOODS AND SERVICES,INSURANCE,Other Insurance,8.8
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Bread and Cereals,94.1
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Meat,72.1
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fish and Seafood,73.6
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Milk, Cheese and Eggs",58.9
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Oils and Fats,10.3
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Fruits,48.7
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Vegetables,56.6
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,"Sugar, Jam, Honey, Chocolate and Confectionery",18
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,Food Products n.e.c,16.2
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Coffee, Tea and Cocoa",13.4
2013,Income Decile - 51st - 60th,FOOD AND NON-ALCOHOLIC BEVERAGES,NON-ALCOHOLIC BEVERAGES,"Mineral Water, Soft Drinks, Fruit and Vegetable Juices",15
2013,Income Decile - 51st - 60th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Spirits,4.1
2013,Income Decile - 51st - 60th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Wine,4.5
2013,Income Decile - 51st - 60th,ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,Beer,10.3
2013,Income Decile - 51st - 60th,CLOTHING AND FOOTWEAR,CLOTHING,Clothing Materials,3.3
2013,Income Decile - 51st - 60th,CLOTHING AND FOOTWEAR,CLOTHING,Garments,128.7
2013,Income Decile - 51st - 60th,CLOTHING AND FOOTWEAR,CLOTHING,Other Clothing and Clothing Accessories,5.3
2013,Income Decile - 51st - 60th,CLOTHING AND FOOTWEAR,CLOTHING,"Cleaning, Repair and Hire of Clothing",1.6
2013,Income Decile - 51st - 60th,CLOTHING AND FOOTWEAR,FOOTWEAR,Shoes and Other Footwear,39.7
2013,Income Decile - 51st - 60th,CLOTHING AND FOOTWEAR,FOOTWEAR,Repair and Hire of Footwear,0.2
2013,Income Decile - 51st - 60th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Materials for Maintenance and Repair of Dwelling,3
2013,Income Decile - 51st - 60th,HOUSING AND UTILITIES,MAINTENANCE AND REPAIR OF DWELLING,Services for Maintenance and Repair of Dwelling,9.9
2013,Income Decile - 51st - 60th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,Water Supply and Miscellaneous Services Related to Dwelling,121.8
2013,Income Decile - 51st - 60th,HOUSING AND UTILITIES,UTILITIES AND OTHER FUELS,"Electricity, Gas and Other Fuels",147
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",Furniture and Furnishings,27
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","Repair of Furniture, Furnishings and Floor Coverings",2.1
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Major Household Appliances,20.9
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Small Electrical Household Appliances,5.9
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",HOUSEHOLD APPLIANCES,Repair of Household Appliances,3.6
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,Small Tools and Miscellaneous Accessories,5.6
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Non-Durable Household Goods,30.2
2013,Income Decile - 51st - 60th,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,Domestic Services and Household Services,135.6
2013,Income Decile - 51st - 60th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Pharmaceutical Products,74.8
2013,Income Decile - 51st - 60th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Other Medical Products,2.5
2013,Income Decile - 51st - 60th,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",Therapeutic Appliances and Equipment,13.3
2013,Income Decile - 51st - 60th,HEALTH,OUTPATIENT SERVICES,Medical Services,80.4
2013,Income Decile - 51st - 60th,HEALTH,OUTPATIENT SERVICES,Dental Services,14.2
2013,Income Decile - 51st - 60th,HEALTH,OUTPATIENT SERVICES,Paramedical Services,26.2
2013,Income Decile - 51st - 60th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Hospital Services,70.6
2013,Income Decile - 51st - 60th,HEALTH,"HOSPITAL, CONVALESCENT AND REHABILITATION SERVICES",Intermediate and Long-Term Care Services,6.6
2013,Income Decile - 51st - 60th,TRANSPORT,PURCHASE OF VEHICLES,Motor Cars,256.3
2013,Income Decile - 51st - 60th,TRANSPORT,PURCHASE OF VEHICLES,Motorcycles,3.4
2013,Income Decile - 51st - 60th,TRANSPORT,PURCHASE OF VEHICLES,Bicycles,0.1
2013,Income Decile - 51st - 60th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Spare Parts and Accessories for Vehicles,7
2013,Income Decile - 51st - 60th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Fuels and Lubricants for Vehicles,144
2013,Income Decile - 51st - 60th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Maintenance and Repair of Vehicles,56.9
2013,Income Decile - 51st - 60th,TRANSPORT,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,Other Services in respect of Vehicles,118.3
2013,Income Decile - 51st - 60th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Railway,47
2013,Income Decile - 51st - 60th,TRANSPORT,LAND TRANSPORT SERVICES,Passenger Transport by Road,129.1
2013,Income Decile - 51st - 60th,TRANSPORT,LAND TRANSPORT SERVICES,Combined Passenger Transport by Railway and Road,30.9
2013,Income Decile - 51st - 60th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Air,46.7
2013,Income Decile - 51st - 60th,TRANSPORT,OTHER TRANSPORT SERVICES,Passenger Transport by Sea,2.6
2013,Income Decile - 51st - 60th,TRANSPORT,OTHER TRANSPORT SERVICES,"Combined Passenger Transport, Except by Railway and Road only",0.2
2013,Income Decile - 51st - 60th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Postal Services,0.5
2013,Income Decile - 51st - 60th,COMMUNICATION,POSTAL AND COURIER/DELIVERY SERVICES,Courier/Delivery Services,0.1
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Audio-Visual Equipment and Accessories,11
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Optical and Photographic Goods,2.8
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Information Processing Equipment,16.6
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT",Recording Media,6.4
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"AUDIO-VISUAL, PHOTOGRAPHIC AND INFORMATION PROCESSING EQUIPMENT","Repair of Audio-Visual, Photographic and Information Processing Equipment",0.9
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS",Other Major Durables for Recreation and Culture,4.1
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,"OTHER RECREATIONAL GOODS, GARDENS AND PETS","Other Recreational Items and Equipment, Gardens and Pets",36.1
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Recreational and Sporting Services,39.3
2013,Income Decile - 51st - 60th,RECREATION AND CULTURE,RECREATIONAL AND CULTURAL SERVICES,Cultural Services,59.9
